Title of Artwork,Painting QID,Painting Label,Location,Movement,Collection,Owned By,Artist,Made From Material,Country,Described At URL,Copyright Status,Time Period,Year of Creation,Image
,http://www.wikidata.org/entity/Q17493927,,Mus�e d'Orsay,,Mus�e d'Orsay,,Eug�ne Carri�re,oil paint,,,public domain,,1887,
,http://www.wikidata.org/entity/Q17492018,The mole of Deauville,Mus�e d'Orsay,,Mus�e d'Orsay,Isaac de Camondo,Eug�ne Louis Boudin,oil paint,,,public domain,,1869,http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Boudin%20006.jpg
,http://www.wikidata.org/entity/Q17492170,The Beach at Trouville,Mus�e d'Orsay,,Mus�e d'Orsay,,Eug�ne Louis Boudin,oil paint,,,public domain,,1867,http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A9ne%20boudin%2C%20la%20spiaggia%20di%20trouville%2C%201867.JPG
The Beach at Trouville,http://www.wikidata.org/entity/Q17492171,The Beach at Trouville,Mus�e d'Orsay,,Mus�e d'Orsay,,Eug�ne Louis Boudin,oil paint,,,public domain,,1865,http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Boudin%20-%20The%20Beach%20at%20Trouville%20-%20Google%20Art%20Project.jpg
,http://www.wikidata.org/entity/Q17492169,,Mus�e des Beaux-Arts de Caen,,Mus�e d'Orsay,,Eug�ne Louis Boudin,oil paint,,https://mba.caen.fr/oeuvre/trouville-scene-de-la-plage,public domain,,1864,
,http://www.wikidata.org/entity/Q17492672,,Mus�e d'Orsay,,Mus�e d'Orsay,,Félix-Joseph Barrias,oil paint,,,public domain,,1855,
,http://www.wikidata.org/entity/Q17491452,,Mus�e d'Orsay,,Mus�e d'Orsay,,Ferdinand Heilbuth,oil paint,,,public domain,,,
,http://www.wikidata.org/entity/Q17491626,,Mus�e d'Orsay,,Mus�e d'Orsay,,Fernand Maillaud,oil paint,,,,,1900,
L'Hallali du cerf,http://www.wikidata.org/entity/Q3203447,Killing a Deer,Mus�e d'Orsay,,Mus�e d'Orsay,France,Gustave Courbet,oil paint,,,public domain,,1867,http://commons.wikimedia.org/wiki/Special:FilePath/Courbet%20-%20L%27Hallali%20du%20cerf.jpg
,http://www.wikidata.org/entity/Q540488,A Burial at Ornans in london,Mus�e d'Orsay,literary realism,Mus�e d'Orsay,,Gustave Courbet,oil paint,,https://www.wga.hu/html/c/courbet/1/courb104.html,public domain,,1841,http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Courbet%20-%20A%20Burial%20at%20Ornans%20-%20Google%20Art%20Project.jpg
Nude Woman with a Dog,http://www.wikidata.org/entity/Q17491463,Femme nue au chien,Mus�e d'Orsay,realism,Mus�e d'Orsay,,Gustave Courbet,oil paint,,http://www.musee-orsay.fr/fr/collections/oeuvres-commentees/recherche/commentaire/commentaire_id/femme-nue-au-chien-17240.html,public domain,,1868,http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Courbet%20-%20Nude%20Woman%20with%20Dog%20-%20WGA05508.jpg
L'Atelier du peintre,http://www.wikidata.org/entity/Q1167178,The Painter's Studio,Mus�e d'Orsay,Realism,Mus�e d'Orsay,,Gustave Courbet,oil paint,,https://www.musee-orsay.fr/en/node/189259,public domain,,1850,http://commons.wikimedia.org/wiki/Special:FilePath/Courbet%20LAtelier%20du%20peintre.jpg
,http://www.wikidata.org/entity/Q17495398,,Mus�e d'Orsay,,Mus�e d'Orsay,,Ignacio Zuloaga,oil paint,,,public domain,,1899,
Bergère avec son troupeau,http://www.wikidata.org/entity/Q18203240,Bergère avec son troupeau,Mus�e d'Orsay,,Mus�e d'Orsay,,Jean-Fran�oisMillet,oil paint,,,public domain,,1863,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Fran%C3%A7ois%20Millet%20Pastora.jpg
,http://www.wikidata.org/entity/Q17493713,,Mus�e d'Orsay,,Mus�e d'Orsay,,Jean-Jules-Antoine Lecomte du Nouÿ,oil paint,,,public domain,,1888,
,http://www.wikidata.org/entity/Q17492632,,Mus�e d'Orsay,,Mus�e d'Orsay,Étienne Moreau-Nélaton,Jean-Louis Forain,oil paint,,,public domain,,,
"Antibes, horse-ride",http://www.wikidata.org/entity/Q17490696,Antibes. La promenade à cheval,Mus�e d'Orsay,academic art,Mus�e d'Orsay,Fop Smit,Jean-Louis-Ernest Meissonier,oil paint,,,public domain,,1868,
,http://www.wikidata.org/entity/Q17490781,,Mus�e d'Orsay,academic art,Mus�e d'Orsay,,Jean-Louis-Ernest Meissonier,oil paint,,,public domain,,1860,
,http://www.wikidata.org/entity/Q17491444,,Château de Blérancourt,,Mus�e d'Orsay,,Julius LeBlanc Stewart,oil paint,,,public domain,,1888,
,http://www.wikidata.org/entity/Q17493425,,Mus�e d'Orsay,,Mus�e d'Orsay,,Léon Carré,oil paint,,,public domain,,1910,
,http://www.wikidata.org/entity/Q17490985,,Mus�e d'Orsay,,Mus�e d'Orsay,,Louis-Frederic Schützenberger,oil paint,,,public domain,,1864,
,http://www.wikidata.org/entity/Q17493024,,Château de Compiègne,,Mus�e d'Orsay,,Narcisse Virgilio D�az,oil paint,,https://compiegne-peintures.fr/notice/notice.php?id=420,public domain,,1863,
Apothéose de Delacroix,http://www.wikidata.org/entity/Q17490706,Apotheosis of Delacroix,Mus�e Granet,,Mus�e d'Orsay,,Paul Cézanne,oil paint,,https://www.cezannecatalogue.com/catalogue/entry.php?id=724,public domain,,1890,http://commons.wikimedia.org/wiki/Special:FilePath/Apoth%C3%A9ose%20de%20Delacroix%2C%20par%20Paul%20C%C3%A9zanne.jpg
,http://www.wikidata.org/entity/Q64504398,,Mus�e d'Orsay,,Mus�e d'Orsay,Paul Gachet,Paul Gachet,oil paint,,,public domain,,,
Arearea,http://www.wikidata.org/entity/Q3622074,Arearea,Mus�e d'Orsay,,Mus�e d'Orsay,,Paul Gauguin,oil paint,,,public domain,,1892,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Gauguin%20-%20Arearea%20-%20Google%20Art%20Project.jpg
,http://www.wikidata.org/entity/Q17491307,In a boat,Mus�e d'Orsay,,Mus�e d'Orsay,,Pierre Bonnard,oil paint,,http://www.christies.com/lotfinder/Lot/pierre-bonnard-1867-1947-en-barque-1641300-details.aspx,public domain,,1907,http://commons.wikimedia.org/wiki/Special:FilePath/%27En%20Barque%27%20by%20Pierre%20Bonnard%2C%20c.%201907s.jpg
,http://www.wikidata.org/entity/Q17491485,,Mus�e d'Orsay,,Mus�e d'Orsay,,Pierre Bonnard,distemper,,,public domain,,1891,
,http://www.wikidata.org/entity/Q17491684,,Mus�e d'Orsay,,Mus�e d'Orsay,,Pierre Bonnard,oil paint,,,public domain,,1920,
,http://www.wikidata.org/entity/Q17492969,,Mus�e d'Orsay,,Mus�e d'Orsay,,Pierre Bonnard,oil paint,,,public domain,,1895,
,http://www.wikidata.org/entity/Q17491364,,Palace of Fontainebleau,,Mus�e d'Orsay,,Rosa Bonheur,oil paint,,,public domain,,,
,http://www.wikidata.org/entity/Q17495611,,Palace of Fontainebleau,,Mus�e d'Orsay,,Rosa Bonheur,oil paint,,,public domain,,,
,http://www.wikidata.org/entity/Q17494325,,Mus�e d'Orsay,,Mus�e d'Orsay,,Stanislas Lépine,oil paint,,,public domain,,,
,http://www.wikidata.org/entity/Q17491094,,Mus�e d'Orsay,,Mus�e d'Orsay,,Théophile Steinlen,oil paint,,,public domain,,1903,
Portrait des amis,http://www.wikidata.org/entity/Q106766127,Portrait of friends,Mus�e d’Art et d’Histoire de Genève,,Mus�e d’Art et d’Histoire de Genève,,Louise Catherine Breslau,oil paint,Switzerland,https://collections.geneve.ch/mah/oeuvre/portrait-des-amis/1883-0002,public domain,,1881,
The Wedding Party,http://www.wikidata.org/entity/Q21849357,The Wedding Party,Mus�e de l'Orangerie,naïve art,Mus�e de l'Orangerie,,Henri Rousseau,oil paint,France,https://www.musee-orangerie.fr/fr/oeuvre/la-noce,public domain,,1905,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Rousseau%2C%20dit%20le%20Douanier%20-%20The%20Wedding%20Party%20-%20Google%20Art%20Project.jpg
,http://www.wikidata.org/entity/Q21748979,Portrait of miss Chanel,Mus�e de l'Orangerie,,Mus�e de l'Orangerie,,Marie Laurencin,oil paint,,https://www.musee-orangerie.fr/fr/oeuvre/portrait-de-mademoiselle-chanel,,,1923,
La forêt,http://www.wikidata.org/entity/Q20804313,Wooded landscape with a flooded road,Mus�e de la Chartreuse de Douai,,Mus�e de la Chartreuse de Douai,,Jacob van Ruisdael,oil paint,,,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Douai%20chartreuse%20van%20ruisdael%20foret.jpg
"Bonne, Nonne et Ponne, chiennes de la meute de Louis XIV, chassant",http://www.wikidata.org/entity/Q29644548,"Bonne, Nonne et Pomme, chiennes de la meute de Louis XIV",Mus�e de la Chasse et de la Nature,,Mus�e de la Chasse et de la Nature,,Alexandre-Fran�ois Desportes,Null,,,public domain,,1702,
"Diane et Blonde, chiennes de la meute de Louis XIV, chassant",http://www.wikidata.org/entity/Q29644555,"Diane et Blonde, chiennes de la meute de Louis XIV, chassant",Mus�e de la Chasse et de la Nature,,Mus�e de la Chasse et de la Nature,,Alexandre-Fran�ois Desportes,Null,,,public domain,,1802,
"En forêt, le givre",http://www.wikidata.org/entity/Q67130161,"En forêt, le givre",Mus�e de la Cohue,,Mus�e de la Cohue,,Léon Le Goaesbe de Bellée,oil paint,,https://bretagnemusees.bzh/collection/en-foret-le-givre-par-leon-le-goasbe-de-bellee/,,,1879,http://commons.wikimedia.org/wiki/Special:FilePath/118%20L%C3%A9on%20Le%20Goaebe%20de%20Bell%C3%A9e%20En%20for%C3%AAt%2C%20le%20givre.JPG
,http://www.wikidata.org/entity/Q116694249,Un Buveur,Mus�e de Picardie,,Mus�e de Picardie,,Giacomo Francesco Cipper,oil paint,,,,,1685,
,http://www.wikidata.org/entity/Q116618318,Portrait of a man with his dog,Mus�e de Picardie,,Mus�e de Picardie,,Govert Flinck,oil paint,,,,,1642,
,http://www.wikidata.org/entity/Q24449798,Girl as Shepherdess,Mus�e de Picardie,,Mus�e de Picardie,Mus�e de Picardie,Jan Baptist Weenix,oil paint,,,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Baptist%20Weenix%20-%20Girl%20as%20Shepherdess%20c.%201650.jpg
Baptiste the dog groomer,http://www.wikidata.org/entity/Q68326120,Baptiste the dog groomer,Mus�e de Picardie,,Mus�e de Picardie,,Jeanne-Françoise Berthelot-Lavalard,oil paint,,https://www.latribunedelart.com/un-nouveau-lavalard-au-musee-d-amiens-baptiste-tondeur-de-chiens,,,1840,
Autoportrait,http://www.wikidata.org/entity/Q24533136,Self portrait,Mus�e de Pontarlier,Realism,Mus�e de Pontarlier,,Gustave Courbet,oil paint,,https://www.wga.hu/html/c/courbet/2/courb202.html,public domain,,1842,http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Courbet%20-%20Self-Portrait%20%28Courbet%20with%20Black%20Dog%29%20-%20WGA05478.jpg
Portrait du poète Armand Silvestre,http://www.wikidata.org/entity/Q17582435,Armand Silvestre - Armand-Désiré GAUTIER - Mus�e des Augustins - RO 686,Mus�e des Augustins,,Mus�e des Augustins,,Amand Gautier,oil paint,,,public domain,,1884,http://commons.wikimedia.org/wiki/Special:FilePath/Augustins%20-%20Armand%20Silvestre%20-%20Armand-D%C3%A9sir%C3%A9%20Gautier%20RO%20686.jpg
,http://www.wikidata.org/entity/Q26857730,,Mus�e des Augustins,Romanticism,Mus�e des Augustins,,Fran�ois Vincent Latil,paint,,,public domain,,1831,http://commons.wikimedia.org/wiki/Special:FilePath/Latil%20Jeune%20voyageur%20mus%C3%A9e%20des%20Augustins.jpg
,http://www.wikidata.org/entity/Q17582549,Deux Merveilleuses,Mus�e des Augustins,,Mus�e des Augustins,,Hortense Haudebourt-Lescot,oil paint,,https://augustins.org/fr/search-notice/detail/ro-693-deux-mer-c86ea,public domain,,1810,http://commons.wikimedia.org/wiki/Special:FilePath/Haudebourt-Lescot%20Deux%20Merveilleuses%20%28RO%20693%29.jpg
Les adieux du consul Boetius à sa famille,http://www.wikidata.org/entity/Q21699386,Les adieux du consul Boetius à sa famille,Salon rouge du Mus�e des Augustins de Toulouse,,Mus�e des Augustins,,Jean Victor Schnetz,oil paint,,,public domain,,1826,http://commons.wikimedia.org/wiki/Special:FilePath/Augustins%20-%20Les%20adieux%20du%20consul%20Boetius%20%C3%A0%20sa%20famille%20-%20Victor%20Schnetz%20D%201886%202.jpg
Louis XV chassant le cerf dans la forêt de Saint-Germain,http://www.wikidata.org/entity/Q17583250,Louis XV chassant le cerf dans la forêt de Saint-Germain,Mus�e des Augustins,,Mus�e des Augustins,,Jean-Baptiste Oudry,oil paint,,,public domain,,1730,http://commons.wikimedia.org/wiki/Special:FilePath/Oudry%20Louis%20XV%20%282004%201%2071%29.jpg
"La Chasse à l'ours vers la cascade du lac d'Oo, près de Bagnères-de-Luchon",http://www.wikidata.org/entity/Q17583665,"La Chasse à l'ours vers la cascade du lac d'Oo, près de Bagnères-de-Luchon",Mus�e des Augustins,,Mus�e des Augustins,,"Louis-François, Baron Lejeune",oil paint,,,public domain,,1834,http://commons.wikimedia.org/wiki/Special:FilePath/Augustins%20-%20La%20Chasse%20%C3%A0%20l%27ours%20vers%20la%20cascade%20du%20lac%20d%27Oo%2C%20pr%C3%A8s%20de%20Bagn%C3%A8res-de-Luchon%20-%20Louis-Fran%C3%A7ois%20Lejeune%20-%202000%201%201.jpg
La Visite,http://www.wikidata.org/entity/Q17583667,La Visite,Mus�e des Augustins,,Mus�e des Augustins,,Marguerite Gérard,oil paint,,,public domain,,1815,http://commons.wikimedia.org/wiki/Special:FilePath/Gerard%20La%20Visite%20%282005%201%201%29.jpg
,http://www.wikidata.org/entity/Q17583736,,Mus�e des Augustins,,Mus�e des Augustins,,Simon de Vos,oil paint,,,public domain,,1655,http://commons.wikimedia.org/wiki/Special:FilePath/Vos%20Simon%20et%20Abigail%20%2869%203%201%29.jpg
Le Martyre de Saint Jacques,http://www.wikidata.org/entity/Q21764212,Martyrdom of Saint James the Greater,Église du Mus�e des Augustins de Toulouse,,Mus�e des Augustins,,Thomas Willeboirts Bosschaert,oil paint,,,public domain,,1637,http://commons.wikimedia.org/wiki/Special:FilePath/Augustins%20-%20Le%20Martyre%20de%20Saint%20Jacques%20-%20Thomas%20Bosschaert%202004%201%2067.jpg
"Le pigeonnier, dit aussi le moulin de Charenton",http://www.wikidata.org/entity/Q22340391,The Dovecote,Mus�e des Beaux-Arts d'Orléans,,Mus�e des Beaux-Arts d'Orléans,,Fran�ois Boucher,oil paint,,https://www.wga.hu/html/b/boucher/2/the_mill.html,public domain,,1750,http://commons.wikimedia.org/wiki/Special:FilePath/Boucher-Moulin-%C3%A0-Charenton-Mus%C3%A9e-d%27-Orl%C3%A9ans.jpg
,http://www.wikidata.org/entity/Q106350473,,Mus�e des Beaux-Arts de Béziers,,Mus�e des Beaux-Arts de Béziers,,Gabriel Fayet,oil paint,,,public domain,,1879,http://commons.wikimedia.org/wiki/Special:FilePath/Gabriel%20Fayet%20-%20Vue%20de%20B%C3%A9ziers%2001.jpg
,http://www.wikidata.org/entity/Q106351061,,Mus�e des Beaux-Arts de Béziers,,Mus�e des Beaux-Arts de Béziers,,Narcisse Virgilio D�az,oil paint,,,public domain,,1900,http://commons.wikimedia.org/wiki/Special:FilePath/Narcisse%20D%C3%ADaz%20de%20la%20Pe%C3%B1a%20-%20Paysage%20aux%20baigneuses%2001.jpg
,http://www.wikidata.org/entity/Q44009548,The death of Adonis,Mus�e des Beaux-Arts de Blois,,Mus�e des Beaux-Arts de Blois,,Maerten de Vos,oil paint,,,public domain,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maerten%20de%20Vos%20-%20The%20death%20of%20Adonis.jpg
Wooded landscape with Diana and her sleeping nymphs,http://www.wikidata.org/entity/Q18815398,Resting Diana,Mus�e des Beaux-Arts de Bordeaux,,Mus�e des Beaux-Arts de Bordeaux,,Abraham Govaerts,wood,,,public domain,,1614,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Govaerts%20Waldlandschaft%20mit%20Rast%20der%20Diana.jpg
"Portrait of Maria de' Medici (1575-1642), Queen-mother of France, with the City of Antwerp in the distance",http://www.wikidata.org/entity/Q3937625,Portrait of Marie de' Medici,Mus�e des Beaux-Arts de Bordeaux,,Mus�e des Beaux-Arts de Bordeaux,,Anthony van Dyck,oil paint,,,public domain,,1631,http://commons.wikimedia.org/wiki/Special:FilePath/Maria%20de%27%20Medici%20by%20Anthony%20van%20Dyck.jpg
,http://www.wikidata.org/entity/Q18818941,Love Jealous of Fidelity,Mus�e des Beaux-Arts de Bordeaux,,Mus�e des Beaux-Arts de Bordeaux,,Antonio Bellucci,oil paint,,,public domain,,1700,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20BELLUCCI%2C%20%22L%27Amour%20jaloux%20de%20la%20Fid%C3%A9lit%C3%A9.JPG
,http://www.wikidata.org/entity/Q63953308,Landscape with Half-leaved Weathered Oak,Mus�e des Beaux-Arts de Bordeaux,,Mus�e des Beaux-Arts de Bordeaux,Marquis de Lacaze,Jan van Goyen,oil paint,,http://collections-musees.bordeaux.fr/ow4/mba/voir.xsp?id=00101-721,public domain,,1638,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20van%20Goyen%20-%20Weathered%20Oak%20001-032-2937.jpg
,http://www.wikidata.org/entity/Q18177686,Le Bain de Diane,Mus�e des Beaux-Arts de Bordeaux,,Mus�e des Beaux-Arts de Bordeaux,,Jean-Baptiste Camille Corot,oil paint,,,public domain,,1855,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20bain%20de%20Diane.jpg
,http://www.wikidata.org/entity/Q18822209,Venus Crying over the Death of Adonis,Mus�e des Beaux-Arts de Bordeaux,,Mus�e des Beaux-Arts de Bordeaux,,Jean-Faur Courrège,oil paint,,,public domain,,1753,http://commons.wikimedia.org/wiki/Special:FilePath/Courr%C3%A8ge%20V%C3%A9nus%20pleurant%20Adonis.jpg
La Mangeuse de cerises,http://www.wikidata.org/entity/Q18822389,The Cherry Eater,Mus�e des Beaux-Arts de Bordeaux,,Mus�e des Beaux-Arts de Bordeaux,,Philip James de Loutherbourg,oil paint,,,public domain,,1771,http://commons.wikimedia.org/wiki/Special:FilePath/Loutherbourg-La%20Mangeuse%20de%20cerises.jpg
,http://www.wikidata.org/entity/Q64185523,Landscape with Hunter and Two Dogs,Mus�e des Beaux-Arts de Caen,,Mus�e des Beaux-Arts de Caen,,Jan Wijnants,oil paint,,,public domain,,1671,
"The meeting of Abram [Abraham] and Melchizedek, the high priest and king of Salem, who brings bread and wine (Genesis 14:18-24)",http://www.wikidata.org/entity/Q3797751,The Meeting between Abraham and Melchizedek,Mus�e des Beaux-Arts de Caen,,Mus�e des Beaux-Arts de Caen,,Peter Paul Rubens,oil paint,,https://mba.caen.fr/oeuvre/abraham-et-melchisedech,public domain,,1616,http://commons.wikimedia.org/wiki/Special:FilePath/Rubens%2C%20incontro%20di%20caen.jpg
,http://www.wikidata.org/entity/Q66839254,Dutch Village on a Canal,Mus�e des Beaux-Arts de Carcassonne,,Mus�e des Beaux-Arts de Carcassonne,,Aert van der Neer,oil paint,,,public domain,,1665,http://commons.wikimedia.org/wiki/Special:FilePath/Beaux-Arts%20de%20Carcassonne%20-%20Village%20hollandais%20au%20bord%20d%27un%20canal%20-%20Aert%20Van%20Der%20Neer%20-%20Joconde04400000297.jpg
Retour d'une chasse à l'ours,http://www.wikidata.org/entity/Q106725581,Retour d'une chasse à l'ours,Mus�e des Beaux-Arts de Carcassonne,,Mus�e des Beaux-Arts de Carcassonne,,Fernand Cormon,oil paint,,,public domain,,1880,http://commons.wikimedia.org/wiki/Special:FilePath/Fernand%20Cormon%20-%20Retour%20d%27une%20chasse%20%C3%A0%20l%27ours.jpg
Intérieur de bergerie,http://www.wikidata.org/entity/Q106702947,Beaux-Arts de Carcassonne - Intérieur de bergerie - Giuseppe Palizzi,Mus�e des Beaux-Arts de Carcassonne,,Mus�e des Beaux-Arts de Carcassonne,,Giuseppe Palizzi,oil paint,,,public domain,,1886,http://commons.wikimedia.org/wiki/Special:FilePath/Beaux-Arts%20de%20Carcassonne%20-%20Int%C3%A9rieur%20de%20bergerie%201886%20-%20Giuseppe%20Palizzi.jpg
Chiens du Douar dévorant un cheval mort dans les gorges d'El Kantara,http://www.wikidata.org/entity/Q106942833,Dogs of the Douar devuring a dead horse,Mus�e des Beaux-Arts de Carcassonne,,Mus�e des Beaux-Arts de Carcassonne,,Gustave Achille Guillaumet,oil paint,,,public domain,,1883,http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Guillaumet%20-%20Chiens%20d%C3%A9vorant%20un%20cheval%2002.jpg
Bataille de chiens et de chats,http://www.wikidata.org/entity/Q106760938,Battle of dogs and cats,Mus�e des Beaux-Arts de Carcassonne,,Mus�e des Beaux-Arts de Carcassonne,,Nicasius Bernaerts,oil paint,France,,public domain,,1660,http://commons.wikimedia.org/wiki/Special:FilePath/Beaux-Arts%20de%20Carcassonne%20-%20Bataille%20de%20chiens%20et%20de%20chats%20-%20Nicasius%20Bernaerts.jpg
